iter	Logloss
0	0.636227912
1	0.5886813963
2	0.5548485035
3	0.527176151
4	0.5055705717
5	0.4883356644
6	0.4751251415
7	0.4631543176
8	0.4534138817
9	0.4458016365
10	0.4397443672
11	0.4348062309
12	0.4298174855
13	0.4259668583
14	0.4227334533
15	0.4210282948
16	0.417430286
17	0.4153076768
18	0.4133695908
19	0.4112523202
20	0.409217679
21	0.4072687687
22	0.4067843949
23	0.4051735948
24	0.403493411
25	0.4022100638
26	0.4020463987
27	0.4013380981
28	0.4000663636
29	0.3989771107
30	0.398238934
31	0.3973975459
32	0.3966697824
33	0.39646553
34	0.3959663826
35	0.3947811899
36	0.3943996385
37	0.3938088746
38	0.3938079052
39	0.3937567973
40	0.3928908276
41	0.3923805737
42	0.3918985907
43	0.391733088
44	0.3912878183
45	0.3912766375
46	0.3902819964
47	0.3896676395
48	0.3895560327
49	0.3887484114
50	0.388490003
51	0.3881642351
52	0.3881555483
53	0.3876247045
54	0.3869757609
55	0.386909717
56	0.3868988155
57	0.3867056929
58	0.3862051396
59	0.3860389375
60	0.385684713
61	0.3856825359
62	0.3856448552
63	0.3851038325
64	0.384940347
65	0.3848073206
66	0.3839671327
67	0.3839273672
68	0.3835228855
69	0.3831283263
70	0.3831198369
71	0.3829827931
72	0.3824696414
73	0.3821758119
74	0.3817978004
75	0.3813514607
76	0.3811849249
77	0.3808808628
78	0.3807238772
79	0.3801524595
80	0.3801264055
81	0.3794187158
82	0.37869319
83	0.3786929339
84	0.3782859783
85	0.3777507087
86	0.3775868574
87	0.3769607349
88	0.3768022037
89	0.3765843681
90	0.3763292377
91	0.3763292316
92	0.3759243096
93	0.3752598219
94	0.3744341557
95	0.3741819807
96	0.3740695366
97	0.3733950051
98	0.3730104416
99	0.3726331241
100	0.3721571854
101	0.371647192
102	0.3709013231
103	0.3706795674
104	0.3705335127
105	0.3702330941
106	0.3699479289
107	0.3694279565
108	0.3685036817
109	0.3679696146
110	0.367607377
111	0.3674450674
112	0.3669814214
113	0.3665234552
114	0.3662849451
115	0.3655207296
116	0.3650599643
117	0.364718103
118	0.3644480682
119	0.3641643242
120	0.3638474591
121	0.363565783
122	0.3634647618
123	0.3628318768
124	0.3625194062
125	0.3618854052
126	0.3617605913
127	0.3615357703
128	0.3612517827
129	0.3610715084
130	0.3608746104
131	0.3604448634
132	0.3601429055
133	0.3599246543
134	0.3598568235
135	0.3590002641
136	0.3588230971
137	0.3582255274
138	0.357837167
139	0.3573825034
140	0.356801331
141	0.3563167023
142	0.3560487106
143	0.3555564635
144	0.3548557976
145	0.3543775679
146	0.3540705305
147	0.3537393126
148	0.3535369536
149	0.3529457026
150	0.3523034994
151	0.3519639028
152	0.3513048442
153	0.3507842156
154	0.3502049319
155	0.3500876041
156	0.3498217647
157	0.3491714257
158	0.3485564659
159	0.3484877203
160	0.3480371471
161	0.3475844858
162	0.3474284331
163	0.3471993968
164	0.3468488455
165	0.3464542782
166	0.3461827603
167	0.3460547756
168	0.3456624513
169	0.3453786394
170	0.34518965
171	0.3448902538
172	0.3446455782
173	0.3445246574
174	0.3441785578
175	0.3439672567
176	0.3434288102
177	0.3428378045
178	0.342592566
179	0.3421350927
180	0.3419310439
181	0.341770683
182	0.3415726471
183	0.3411636759
184	0.341046813
185	0.3408271274
186	0.3401934036
187	0.3399260132
188	0.339476881
189	0.3391535827
190	0.3386295656
191	0.3382667127
192	0.3381542293
193	0.3377956366
194	0.3377236629
195	0.3375502329
196	0.3373933218
197	0.3372699344
198	0.3368004959
199	0.3364349189
