iter	Passed	Remaining
0	13	2720
1	28	2780
2	36	2395
3	44	2164
4	51	2008
5	59	1932
6	67	1871
7	77	1861
8	86	1828
9	93	1768
10	100	1730
11	108	1692
12	117	1690
13	127	1699
14	135	1672
15	140	1611
16	148	1602
17	156	1582
18	164	1567
19	172	1556
20	181	1547
21	189	1531
22	192	1480
23	201	1476
24	210	1473
25	224	1504
26	228	1466
27	240	1475
28	247	1459
29	256	1450
30	263	1436
31	271	1425
32	279	1413
33	283	1382
34	289	1365
35	296	1350
36	303	1335
37	311	1325
38	312	1291
39	317	1269
40	324	1260
41	333	1254
42	341	1245
43	344	1222
44	351	1212
45	355	1190
46	362	1179
47	369	1168
48	376	1160
49	384	1152
50	391	1145
51	400	1138
52	404	1121
53	414	1121
54	426	1125
55	430	1107
56	434	1089
57	440	1078
58	447	1069
59	455	1062
60	462	1054
61	467	1039
62	471	1025
63	478	1016
64	485	1009
65	492	1000
66	500	992
67	503	977
68	509	967
69	517	960
70	521	947
71	527	937
72	534	930
73	542	923
74	549	916
75	557	909
76	564	901
77	571	893
78	579	887
79	587	880
80	590	866
81	598	860
82	606	854
83	609	841
84	620	838
85	626	830
86	634	824
87	642	818
88	649	810
89	657	803
90	664	796
91	668	784
92	674	776
93	682	769
94	689	762
95	696	754
96	704	747
97	711	740
98	718	733
99	726	726
100	733	719
101	740	711
102	747	704
103	755	697
104	763	690
105	770	682
106	777	675
107	784	668
108	793	662
109	802	656
110	814	652
111	824	647
112	834	642
113	841	634
114	849	627
115	857	620
116	864	613
117	871	605
118	879	598
119	886	591
120	893	583
121	901	576
122	909	569
123	917	562
124	924	554
125	932	547
126	939	539
127	945	531
128	952	524
129	959	516
130	966	509
131	974	502
132	982	494
133	989	487
134	996	479
135	1007	474
136	1017	467
137	1025	460
138	1034	454
139	1043	447
140	1051	439
141	1059	432
142	1067	425
143	1077	418
144	1087	412
145	1098	406
146	1106	398
147	1115	391
148	1122	384
149	1131	377
150	1139	369
151	1147	362
152	1155	355
153	1164	347
154	1172	340
155	1180	333
156	1189	325
157	1200	319
158	1209	311
159	1217	304
160	1225	296
161	1233	289
162	1241	281
163	1248	274
164	1255	266
165	1262	258
166	1269	250
167	1277	243
168	1285	235
169	1292	228
170	1300	220
171	1307	212
172	1315	205
173	1322	197
174	1330	190
175	1337	182
176	1345	174
177	1353	167
178	1360	159
179	1368	152
180	1376	144
181	1383	136
182	1392	129
183	1399	121
184	1412	114
185	1419	106
186	1428	99
187	1437	91
188	1444	84
189	1452	76
190	1460	68
191	1468	61
192	1476	53
193	1483	45
194	1490	38
195	1498	30
196	1506	22
197	1515	15
198	1522	7
199	1531	0
